"Time","GeoTypeDesc","GeoID","GeoRank","Geography","Score"
"2011","UHF 42","101","4","Kingsbridge - Riverdale","-2"
"2011","UHF 42","102","4","Northeast Bronx","-1"
"2011","UHF 42","103","4","Fordham - Bronx Pk","1"
"2011","UHF 42","104","4","Pelham - Throgs Neck","-1"
"2011","UHF 42","105","4","Crotona -Tremont","2"
"2011","UHF 42","106","4","High Bridge - Morrisania","2"
"2011","UHF 42","107","4","Hunts Point - Mott Haven","1"
"2011","UHF 42","201","4","Greenpoint","2"
"2011","UHF 42","202","4","Downtown - Heights - Slope","3"
"2011","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","2"
"2011","UHF 42","204","4","East New York","1"
"2011","UHF 42","205","4","Sunset Park","1"
"2011","UHF 42","206","4","Borough Park","0"
"2011","UHF 42","207","4","East Flatbush - Flatbush","0"
"2011","UHF 42","208","4","Canarsie - Flatlands","-1"
"2011","UHF 42","209","4","Bensonhurst - Bay Ridge","0"
"2011","UHF 42","210","4","Coney Island - Sheepshead Bay","0"
"2011","UHF 42","211","4","Williamsburg - Bushwick","3"
"2011","UHF 42","301","4","Washington Heights","1"
"2011","UHF 42","302","4","Central Harlem - Morningside Heights","2"
"2011","UHF 42","303","4","East Harlem","2"
"2011","UHF 42","304","4","Upper West Side","1"
"2011","UHF 42","305","4","Upper East Side","1"
"2011","UHF 42","306","4","Chelsea - Clinton","7"
"2011","UHF 42","307","4","Gramercy Park - Murray Hill","6"
"2011","UHF 42","308","4","Greenwich Village - SoHo","9"
"2011","UHF 42","309","4","Union Square - Lower East Side","5"
"2011","UHF 42","310","4","Lower Manhattan","8"
"2011","UHF 42","401","4","Long Island City - Astoria","2"
"2011","UHF 42","402","4","West Queens","1"
"2011","UHF 42","403","4","Flushing - Clearview","-2"
"2011","UHF 42","404","4","Bayside - Little Neck","-2"
"2011","UHF 42","405","4","Ridgewood - Forest Hills","1"
"2011","UHF 42","406","4","Fresh Meadows","-1"
"2011","UHF 42","407","4","Southwest Queens","-1"
"2011","UHF 42","408","4","Jamaica","0"
"2011","UHF 42","409","4","Southeast Queens","-2"
"2011","UHF 42","410","4","Rockaways","-3"
"2011","UHF 42","501","4","Port Richmond","-1"
"2011","UHF 42","502","4","Stapleton - St. George","-2"
"2011","UHF 42","503","4","Willowbrook","-3"
"2011","UHF 42","504","4","South Beach - Tottenville","-4"
